date,number
30/12/2019,0
31/12/2019,1
01/01/2020,0
02/01/2020,0
03/01/2020,2
04/01/2020,0
05/01/2020,1
06/01/2020,0
07/01/2020,0
08/01/2020,0
09/01/2020,0
10/01/2020,1
11/01/2020,0
12/01/2020,0
13/01/2020,0
14/01/2020,2
15/01/2020,1
16/01/2020,3
17/01/2020,2
18/01/2020,2
19/01/2020,2
20/01/2020,3
21/01/2020,6
22/01/2020,3
23/01/2020,11
24/01/2020,8
25/01/2020,8
26/01/2020,8
27/01/2020,2
28/01/2020,5
29/01/2020,3
30/01/2020,4
31/01/2020,1
01/02/2020,1
02/02/2020,0
03/02/2020,0
04/02/2020,2
05/02/2020,1
