date,cases
2020-01-21,0
2020-01-22,2
2020-01-23,5
2020-01-24,9
2020-01-25,13
2020-01-26,18
2020-01-27,22
2020-01-28,25
2020-01-29,28
2020-01-30,32
2020-01-31,34
2020-02-01,38
2020-02-02,40
2020-02-03,42
2020-02-04,48
2020-02-05,53
2020-02-06,53
2020-02-07,52
2020-02-08,50
2020-02-09,46
2020-02-10,45
2020-02-11,44
2020-02-12,44
2020-02-13,44
2020-02-14,42
2020-02-15,42
2020-02-16,38
2020-02-17,37
2020-02-18,33
2020-02-19,33
2020-02-20,30
2020-02-21,26
2020-02-22,24
2020-02-23,23
2020-02-24,23
2020-02-25,23
2020-02-26,25
2020-02-27,20
2020-02-28,18
2020-02-29,14
2020-03-01,12
2020-03-02,9
2020-03-03,8
2020-03-04,7
2020-03-05,6
2020-03-06,5
2020-03-07,4
2020-03-08,3
2020-03-09,3
2020-03-10,3
2020-03-11,2
2020-03-12,2
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
