date,cases,real
2020-01-20,0,1
2020-01-21,2,4
2020-01-22,8,20
2020-01-23,24,74
2020-01-24,44,71
2020-01-25,76,154
2020-01-26,97,138
2020-01-27,120,213
2020-01-28,155,282
2020-01-29,183,384
2020-01-30,206,411
2020-01-31,229,416
2020-02-01,236,364
2020-02-02,267,488
2020-02-03,297,534
2020-02-04,342,634
2020-02-05,333,708
2020-02-06,321,510
2020-02-07,302,354
2020-02-08,270,348
2020-02-09,266,281
2020-02-10,263,234
2020-02-11,264,213
2020-02-12,278,527
2020-02-13,273,317
2020-02-14,250,210
2020-02-15,219,145
2020-02-16,211,114
2020-02-17,198,103
2020-02-18,191,45
2020-02-19,188,7
2020-02-20,167,64
2020-02-21,160,13
2020-02-22,163,29
2020-02-23,169,33
2020-02-24,185,21
2020-02-25,201,22
2020-02-26,204,24
2020-02-27,188,5
2020-02-28,165,1
2020-02-29,150,1
2020-03-01,126,1
2020-03-02,112,11
2020-03-03,85,0
2020-03-04,72,3
2020-03-05,58,1
2020-03-06,48,0
2020-03-07,42,0
2020-03-08,34,0
2020-03-09,28,0
2020-03-10,25,2
2020-03-11,23,1
2020-03-12,22,0
2020-03-13,19,0
2020-03-14,18,7
2020-03-15,16,0
2020-03-16,14,1
2020-03-17,11,1
2020-03-18,10,2
2020-03-19,7,4
2020-03-20,6,3
2020-03-21,5,3
2020-03-22,4,4
2020-03-23,3,4
2020-03-24,3,6
2020-03-25,3,2
2020-03-26,3,6
2020-03-27,3,6
2020-03-28,3,7
2020-03-29,2,3
2020-03-30,2,4
2020-03-31,2,3
2020-04-01,2,3
2020-04-02,2,5
2020-04-03,2,2
2020-04-04,2,3
2020-04-05,2,2
2020-04-06,2,4
2020-04-07,2,2
