date,cases,real
2020-01-20,0,1
2020-01-21,2,3
2020-01-22,7,21
2020-01-23,20,38
2020-01-24,46,104
2020-01-25,86,189
2020-01-26,125,264
2020-01-27,153,267
2020-01-28,181,309
2020-01-29,220,392
2020-01-30,258,479
2020-01-31,258,470
2020-02-01,245,503
2020-02-02,282,439
2020-02-03,302,523
2020-02-04,315,442
2020-02-05,301,494
2020-02-06,301,421
2020-02-07,260,376
2020-02-08,265,458
2020-02-09,240,303
2020-02-10,242,237
2020-02-11,245,227
2020-02-12,262,435
2020-02-13,211,208
2020-02-14,188,150
2020-02-15,186,85
2020-02-16,182,78
2020-02-17,169,59
2020-02-18,177,34
2020-02-19,185,15
2020-02-20,179,237
2020-02-21,137,13
2020-02-22,134,23
2020-02-23,125,14
2020-02-24,120,8
2020-02-25,120,4
2020-02-26,106,4
2020-02-27,107,4
2020-02-28,95,3
2020-02-29,91,3
2020-03-01,80,5
2020-03-02,74,4
2020-03-03,69,0
2020-03-04,62,1
2020-03-05,56,0
2020-03-06,46,0
2020-03-07,42,0
2020-03-08,36,0
2020-03-09,29,0
2020-03-10,23,1
2020-03-11,17,1
2020-03-12,14,0
2020-03-13,11,0
2020-03-14,9,0
2020-03-15,8,1
2020-03-16,7,3
2020-03-17,5,2
2020-03-18,5,0
2020-03-19,3,3
2020-03-20,3,4
2020-03-21,3,3
2020-03-22,3,3
2020-03-23,3,6
2020-03-24,3,6
2020-03-25,3,4
2020-03-26,3,6
2020-03-27,3,2
2020-03-28,3,6
2020-03-29,3,3
2020-03-30,2,4
2020-03-31,2,3
2020-04-01,2,4
2020-04-02,2,6
2020-04-03,2,2
2020-04-04,2,2
2020-04-05,2,2
2020-04-06,2,2
2020-04-07,2,2
