date,cases,real
2020-01-18,0,1
2020-01-19,2,0
2020-01-20,4,13
2020-01-21,11,20
2020-01-22,27,56
2020-01-23,53,117
2020-01-24,89,179
2020-01-25,121,229
2020-01-26,151,262
2020-01-27,202,347
2020-01-28,250,510
2020-01-29,277,556
2020-01-30,297,549
2020-01-31,320,567
2020-02-01,330,489
2020-02-02,325,525
2020-02-03,364,654
2020-02-04,359,530
2020-02-05,367,515
2020-02-06,348,515
2020-02-07,306,418
2020-02-08,307,375
2020-02-09,296,353
2020-02-10,275,299
2020-02-11,257,305
2020-02-12,270,252
2020-02-13,280,225
2020-02-14,251,164
2020-02-15,233,118
2020-02-16,207,82
2020-02-17,205,60
2020-02-18,212,38
2020-02-19,201,25
2020-02-20,221,258
2020-02-21,183,17
2020-02-22,161,22
2020-02-23,151,9
2020-02-24,145,7
2020-02-25,127,2
2020-02-26,125,7
2020-02-27,115,4
2020-02-28,95,4
2020-02-29,86,1
2020-03-01,79,4
2020-03-02,73,8
2020-03-03,66,0
2020-03-04,57,3
2020-03-05,48,2
2020-03-06,39,1
2020-03-07,30,0
2020-03-08,25,0
2020-03-09,19,1
2020-03-10,15,2
2020-03-11,11,4
2020-03-12,10,0
2020-03-13,9,0
2020-03-14,9,8
2020-03-15,9,5
2020-03-16,9,5
2020-03-17,8,6
2020-03-18,8,10
2020-03-19,9,19
2020-03-20,9,11
2020-03-21,9,15
2020-03-22,9,10
2020-03-23,9,24
2020-03-24,8,11
2020-03-25,9,17
2020-03-26,10,20
2020-03-27,9,17
2020-03-28,8,20
2020-03-29,8,12
2020-03-30,7,11
2020-03-31,7,16
2020-04-01,7,10
2020-04-02,6,13
2020-04-03,6,4
2020-04-04,6,12
2020-04-05,7,10
2020-04-06,6,5
2020-04-07,6,5
