date,cases,real
2020-01-20,0,1
2020-01-21,2,3
2020-01-22,8,20
2020-01-23,25,56
2020-01-24,60,103
2020-01-25,108,241
2020-01-26,155,330
2020-01-27,203,380
2020-01-28,243,451
2020-01-29,312,562
2020-01-30,353,753
2020-01-31,365,635
2020-02-01,390,733
2020-02-02,453,687
2020-02-03,485,897
2020-02-04,508,876
2020-02-05,521,1069
2020-02-06,505,785
2020-02-07,508,662
2020-02-08,475,671
2020-02-09,440,537
2020-02-10,410,438
2020-02-11,410,427
2020-02-12,438,783
2020-02-13,371,452
2020-02-14,358,345
2020-02-15,313,229
2020-02-16,272,209
2020-02-17,282,176
2020-02-18,276,63
2020-02-19,258,18
2020-02-20,304,262
2020-02-21,270,21
2020-02-22,280,43
2020-02-23,278,43
2020-02-24,300,29
2020-02-25,286,26
2020-02-26,272,22
2020-02-27,248,5
2020-02-28,226,4
2020-02-29,186,4
2020-03-01,173,5
2020-03-02,134,4
2020-03-03,117,1
2020-03-04,107,3
2020-03-05,94,0
2020-03-06,80,0
2020-03-07,79,0
2020-03-08,66,0
2020-03-09,64,0
2020-03-10,48,1
2020-03-11,48,1
2020-03-12,40,0
2020-03-13,38,0
2020-03-14,30,0
2020-03-15,26,1
2020-03-16,20,3
2020-03-17,16,2
2020-03-18,12,0
2020-03-19,9,3
2020-03-20,7,4
2020-03-21,6,3
2020-03-22,5,3
2020-03-23,4,5
2020-03-24,4,4
2020-03-25,4,4
2020-03-26,3,6
2020-03-27,3,2
2020-03-28,3,6
2020-03-29,2,3
2020-03-30,2,4
2020-03-31,2,3
2020-04-01,2,4
2020-04-02,2,6
2020-04-03,2,2
2020-04-04,2,2
2020-04-05,1,2
2020-04-06,1,2
2020-04-07,1,2
