date,cases,real
2020-01-18,0,1
2020-01-19,2,0
2020-01-20,6,25
2020-01-21,14,20
2020-01-22,31,48
2020-01-23,61,129
2020-01-24,113,200
2020-01-25,166,382
2020-01-26,224,379
2020-01-27,288,496
2020-01-28,367,766
2020-01-29,426,914
2020-01-30,510,954
2020-01-31,530,927
2020-02-01,671,1076
2020-02-02,737,1178
2020-02-03,782,1347
2020-02-04,783,1294
2020-02-05,762,1319
2020-02-06,706,1030
2020-02-07,614,896
2020-02-08,639,732
2020-02-09,614,709
2020-02-10,619,539
2020-02-11,627,585
2020-02-12,735,1341
2020-02-13,652,822
2020-02-14,576,515
2020-02-15,493,245
2020-02-16,452,199
2020-02-17,451,187
2020-02-18,436,63
2020-02-19,405,15
2020-02-20,415,96
2020-02-21,422,53
2020-02-22,387,50
2020-02-23,364,40
2020-02-24,372,30
2020-02-25,355,28
2020-02-26,309,26
2020-02-27,308,5
2020-02-28,250,4
2020-02-29,238,4
2020-03-01,213,4
2020-03-02,177,11
2020-03-03,148,1
2020-03-04,143,5
2020-03-05,122,1
2020-03-06,101,1
2020-03-07,76,0
2020-03-08,67,0
2020-03-09,58,1
2020-03-10,52,0
2020-03-11,43,3
2020-03-12,37,0
2020-03-13,29,0
2020-03-14,26,8
2020-03-15,24,4
2020-03-16,22,4
2020-03-17,21,5
2020-03-18,21,10
2020-03-19,18,18
2020-03-20,16,13
2020-03-21,15,15
2020-03-22,14,13
2020-03-23,13,23
2020-03-24,12,11
2020-03-25,10,18
2020-03-26,9,17
2020-03-27,9,17
2020-03-28,8,14
2020-03-29,7,11
2020-03-30,6,9
2020-03-31,5,13
2020-04-01,5,6
2020-04-02,5,11
2020-04-03,4,3
2020-04-04,4,8
2020-04-05,3,8
2020-04-06,3,2
2020-04-07,3,3
