date,cases,real
2020-01-18,0,1
2020-01-19,2,0
2020-01-20,6,25
2020-01-21,14,20
2020-01-22,30,48
2020-01-23,62,129
2020-01-24,104,200
2020-01-25,152,382
2020-01-26,232,379
2020-01-27,305,496
2020-01-28,407,766
2020-01-29,511,914
2020-01-30,554,954
2020-01-31,609,927
2020-02-01,637,1076
2020-02-02,677,1178
2020-02-03,708,1347
2020-02-04,689,1294
2020-02-05,696,1319
2020-02-06,647,1030
2020-02-07,620,896
2020-02-08,603,732
2020-02-09,546,709
2020-02-10,580,539
2020-02-11,618,585
2020-02-12,716,1341
2020-02-13,602,822
2020-02-14,529,515
2020-02-15,490,245
2020-02-16,449,199
2020-02-17,407,187
2020-02-18,392,63
2020-02-19,406,15
2020-02-20,383,96
2020-02-21,373,53
2020-02-22,353,50
2020-02-23,373,40
2020-02-24,369,30
2020-02-25,330,28
2020-02-26,326,26
2020-02-27,308,5
2020-02-28,299,4
2020-02-29,266,4
2020-03-01,217,4
2020-03-02,210,11
2020-03-03,170,1
2020-03-04,138,5
2020-03-05,123,1
2020-03-06,101,1
2020-03-07,83,0
2020-03-08,67,0
2020-03-09,57,1
2020-03-10,47,0
2020-03-11,40,3
2020-03-12,38,0
2020-03-13,33,0
2020-03-14,32,8
2020-03-15,29,4
2020-03-16,25,4
2020-03-17,22,5
2020-03-18,20,10
2020-03-19,17,18
2020-03-20,15,13
2020-03-21,14,15
2020-03-22,13,13
2020-03-23,12,23
2020-03-24,11,11
2020-03-25,11,18
2020-03-26,9,17
2020-03-27,8,17
2020-03-28,7,14
2020-03-29,6,11
2020-03-30,7,9
2020-03-31,6,13
2020-04-01,5,6
2020-04-02,5,11
2020-04-03,4,3
2020-04-04,4,8
2020-04-05,4,8
2020-04-06,3,2
2020-04-07,3,3
