param1,param2,param3,lik
0.001,0.5,0.1,-2835.784355043654
0.001,0.5,0.15000000000000002,-Inf
0.001,0.5,0.2,-1664.7833303769112
0.001,0.5,0.25,-576.81281976349
0.001,0.5,0.30000000000000004,-357.55054501161595
0.001,0.5,0.35,-214.47640408095123
0.001,0.5,0.4,-204.86345782464923
0.001,0.5,0.45000000000000007,-203.8617674398085
0.001,0.5,0.5,-243.61486356674544
0.001,0.5,0.55,-184.58296969964232
0.001,0.5,0.6,-185.19498526756269
0.001,0.55,0.1,-Inf
0.001,0.55,0.15000000000000002,-Inf
0.001,0.55,0.2,-845.8564228048028
0.001,0.55,0.25,-982.260688383107
0.001,0.55,0.30000000000000004,-666.0026792332809
0.001,0.55,0.35,-367.9221457582985
0.001,0.55,0.4,-360.86365587604894
0.001,0.55,0.45000000000000007,-216.24351413275565
0.001,0.55,0.5,-192.99962293581405
0.001,0.55,0.55,-Inf
0.001,0.55,0.6,-204.43842741717611
0.001,0.6,0.1,-Inf
0.001,0.6,0.15000000000000002,-Inf
0.001,0.6,0.2,-Inf
0.001,0.6,0.25,-Inf
0.001,0.6,0.30000000000000004,-541.2893478802663
0.001,0.6,0.35,-384.7170721803046
0.001,0.6,0.4,-334.3962190467094
0.001,0.6,0.45000000000000007,-200.65823800177367
0.001,0.6,0.5,-Inf
0.001,0.6,0.55,-185.47070013097908
0.001,0.6,0.6,-199.8682274945308
0.001,0.65,0.1,-Inf
0.001,0.65,0.15000000000000002,-Inf
0.001,0.65,0.2,-933.1268729558828
0.001,0.65,0.25,-Inf
0.001,0.65,0.30000000000000004,-365.34114628351546
0.001,0.65,0.35,-462.8284895237441
0.001,0.65,0.4,-Inf
0.001,0.65,0.45000000000000007,-193.0875095347452
0.001,0.65,0.5,-193.74568036815958
0.001,0.65,0.55,-198.2363229514508
0.001,0.65,0.6,-201.7507770707677
0.001,0.7,0.1,-Inf
0.001,0.7,0.15000000000000002,-1454.3857498743846
0.001,0.7,0.2,-1253.678786154403
0.001,0.7,0.25,-Inf
0.001,0.7,0.30000000000000004,-834.9530084652577
0.001,0.7,0.35,-379.5704708434387
0.001,0.7,0.4,-223.39050286785618
0.001,0.7,0.45000000000000007,-194.61086146983985
0.001,0.7,0.5,-218.18530132878078
0.001,0.7,0.55,-201.9621428457013
0.001,0.7,0.6,-199.48810193055476
0.001,0.75,0.1,-2091.925475666422
0.001,0.75,0.15000000000000002,-1495.065456981867
