"","Region_EN","Incidence","Mortality","Recovery_R","min_min_col","mean_min_col","max_min_col","min_mean_col","mean_mean_col","max_mean_col","min_max_col","mean_max_col","max_max_col","mf_ratio","age65_ratio","group"
"4","Xishuangbanna Dai Autonomous"," 87.63","4.611","63.11"," 2.40","11.46","16.30"," 8.27","15.00","19.07","12.70","18.09","22.30","1.07","0.078","1"
"7","Beihai","172.86","1.928","65.25"," 6.50","13.17","19.60","11.17","16.40","21.87","14.70","20.28","26.00","1.11","0.096","1"
"13","Danzhou"," 98.26","4.587","68.50","16.20","19.39","21.80","17.00","20.52","23.05","18.20","21.97","24.70","1.19","0.072","1"
"15","Dongguan"," 71.86","0.929","55.73"," 1.00"," 6.47","17.60"," 5.77","11.03","20.47","10.00","16.53","24.60","1.13","0.030","1"
"17","Ganzhou"," 56.67","1.179","70.94","-1.10"," 4.26","16.40"," 3.67"," 8.82","19.57"," 7.20","14.25","24.20","1.02","0.108","1"
"18","Guangzhou","162.35","0.182","47.38"," 1.00"," 6.47","17.60"," 5.77","11.03","20.47","10.00","16.53","24.60","1.20","0.085","1"
"19","Guiyang"," 49.42","2.248","70.50","-1.50"," 3.33","10.30"," 2.20"," 7.24","15.12"," 5.10","12.08","21.20","1.10","0.100","1"
"21","Hangzhou","120.27","0.059","76.98","-4.00"," 2.48","12.30"," 0.25"," 6.67","14.95"," 5.40","12.26","20.70","1.09","0.129","1"
"23","Hechi"," 47.66","3.550","58.70"," 1.20"," 6.84","14.90"," 4.80","10.27","17.75"," 8.30","14.54","22.40","1.04","0.105","1"
"34","Sanya","447.86","1.789","75.01","16.20","19.39","21.80","17.00","20.52","23.05","18.20","21.97","24.70","1.11","0.052","1"
"35","Shaoguan"," 21.98","4.704","49.17"," 1.00"," 6.47","17.60"," 5.77","11.03","20.47","10.00","16.53","24.60","1.02","0.128","1"
"36","Shaoyang"," 90.59","0.854","79.02","-1.40"," 5.77","15.40"," 0.72"," 8.50","18.07"," 4.60","12.11","22.60","1.09","0.124","1"
"37","Shenzhen","215.15","0.535","49.82"," 1.00"," 6.47","17.60"," 5.77","11.03","20.47","10.00","16.53","24.60","1.26","0.026","1"
"47","Wenzhou","362.37","0.143","71.96"," 0.10"," 5.46","12.90"," 1.70"," 8.25","16.22"," 5.20","12.09","21.20","1.10","0.108","1"
"57","Yuxi"," 39.98","5.136","67.19"," 0.10"," 5.43","10.20"," 4.95"," 9.13","12.85"," 7.80","13.01","16.70","1.05","0.109","1"
"58","Yueyang","172.71","0.599","72.14","-0.50"," 4.19","10.10"," 0.80"," 7.47","13.30"," 2.10","11.31","17.50","1.08","0.122","1"
"59","Changsha","194.31","0.656","70.38","-0.50"," 4.19","10.10"," 0.80"," 7.47","13.30"," 2.10","11.31","17.50","1.12","0.120","1"
"60","Zhaoqing"," 29.94","4.988","49.48"," 2.40"," 7.80","17.90"," 6.30","11.61","20.52"," 8.60","16.22","24.60","1.04","0.118","1"
"61","Zhuhai","343.72","0.769","51.18"," 6.00","12.01","19.10","10.60","15.89","21.87","14.30","20.91","26.10","1.13","0.070","1"
