"","x"
"1","Baynnur"
"2","Xishuangbanna Dai Autonomous"
"3","Bengbu"
"4","Cangzhou"
"5","Chaoyang"
"6","Daqing"
"7","Dandong"
"8","Danzhou"
"9","Dezhou"
"10","Ezhou"
"11","Hechi"
"12","Huanggang"
"13","Huangshi"
"14","Jingmen"
"15","Jingzhou"
"16","Lanzhou"
"17","Liupanshui"
"18","Qinhuangdao"
"19","Shaoguan"
"20","Siping"
"21","Suihua"
"22","Suizhou"
"23","Taian"
"24","Xianning"
"25","Shuangyashan"
"26","Xiangyang"
"27","Xiaogan"
"28","Xingtai"
"29","Yichang"
"30","Yingkou"
"31","Yuxi"
"32","Zhaoqing"
"33","Ngawa Tibetan and Qiang"
"34","Aksu"
"35","Bayingol Mongolian Autonomous"
"36","Changji Hui Autonomous"
"37","Dali Bai Autonomous"
"38","Daxinganling"
"39","Enshi Tujia and Miao Autonomous"
"40","Gannan Tibetan Autonomous"
"41","Haibei Tibetan Autonomous"
"42","Honghe Hani and Yi Autonomous"
"43","Jaxing"
"44","Liangshan Yi Autonomous"
"45","Linxia Hui Autonomous"
"46","Lvliang"
"47","Puer"
"48","Qiandongnan Buyei and Miao Autonomous"
"49","Qiannan Buyei and Miao Autonomous"
"50","Qianxinan Buyei and Miao Autonomous"
"51","Turfan"
"52","Wenshan Zhuang and Miao Autonomous"
"53","Xilin Gol"
"54","Xiangxi Tujia and Miao Autonomous"
"55","Hinggan League"
"56","Yanbian Korean Autonomous"
"57","Ili Kazak Autonomous"
"58","Anqing"
"59","Anshun"
"60","Anshan"
"61","Bazhong"
"62","Baicheng"
"63","Baiyin"
"64","Baise"
"65","Baotou"
"66","Baoding"
"67","Baoshan"
"68","Beihai"
"69","Benxi"
"70","Bijie"
"71","Binzhou"
"72","Bozhou"
"73","Changde"
"74","Changzhou"
"75","Chaozhou"
"76","Chenzhou"
"77","Chengdu"
"78","Chengde"
"79","Chizhou"
"80","Chifeng"
"81","Chuzhou"
"82","Chuxiong"
"83","Dazhou"
"84","Dalian"
"85","Datong"
"86","Deyang"
"87","Dingxi"
"88","Dongguan"
"89","Ordos"
"90","Fangchenggang"
"91","Foshan"
"92","Fuxin"
"93","Fuyang"
"94","Ganzhou"
"95","Guyuan"
"96","Guangan"
"97","Guangyuan"
"98","Guangzhou"
"99","Guigang"
"100","Guiyang"
"101","Guilin"
"102","Harbin"
"103","Haikou"
"104","Handan"
"105","Hangzhou"
"106","Hefei"
"107","Heyuan"
"108","Heze"
"109","Hezhou"
"110","Hegang"
"111","Heihe"
"112","Hengshui"
"113","Hengyang"
"114","Hohhot"
"115","Hulunbuir"
"116","Huludao"
"117","Huzhou"
"118","Huaihua"
"119","Huaian"
"120","Huaibei"
"121","Huainan"
"122","Huangshan"
"123","Huizhou"
"124","Jixi"
"125","Ji'an"
"126","Jilin"
"127","Jinan"
"128","Jining"
"129","Jiamusi"
"130","Jiangmen"
"131","Jieyang"
"132","Jinchang"
"133","Jinhua"
"134","Jinzhou"
"135","Jincheng"
"136","Jinzhon"
"137","Jingdezhen"
"138","Jiujiang"
"139","Kunming"
"140","Lhasa"
"141","Laibin"
"142","Langfang"
"143","Leshan"
"144","Lijiang"
"145","Lishui"
"146","Lianyungang"
"147","Liaoyang"
"148","Liaoyuan"
"149","Liaocheng"
"150","Lincang"
"151","Linfen"
"152","Linyi"
"153","Liuzhou"
"154","Lu'an"
"155","Longnan"
"156","Loudi"
"157","Luzhou"
"158","Ma'anshan"
"159","Maoming"
"160","Meishan"
"161","Meizhou"
"162","Mianyang"
"163","Mudanjiang"
"164","Nanchang"
"165","Nanchong"
"166","Nanjing"
"167","Nanning"
"168","Nantong"
"169","Neijiang"
"170","Ningbo"
"171","Panzhihua"
"172","Panjin"
"173","Pingliang"
"174","Pingxiang"
"175","Qitaihe"
"176","Qiqihar"
"177","Qinzhou"
"178","Qingdao"
"179","Qingyuan"
"180","Qingyang"
"181","Quzhou"
"182","Qujing"
"183","Rizhao"
"184","Sanya"
"185","Shantou"
"186","Shanwei"
"187","Shangrao"
"188","Shaoyang"
"189","Shaoxing"
"190","Shenzhen"
"191","Shenyang"
"192","Shiyan"
"193","Shizuishan"
"194","Shuozhou"
"195","Songyuan"
"196","Suzhou"
"197","Suining"
"198","Taizhou"
"199","Taiyuan"
"200","Taizhou.1"
"201","Tangshan"
"202","Tieling"
"203","Tonghua"
"204","Tongliao"
"205","Tongling"
"206","Tongren"
"207","Weihai"
"208","Weifang"
"209","Wenzhou"
"210","Wuhai"
"211","Ulaan Chab"
"212","Urumqi"
"213","Wuxi"
"214","Wuhu"
"215","Wuzhong"
"216","Wuzhou"
"217","Weihai.1"
"218","Xining"
"219","Xiangtan"
"220","Xinzhou"
"221","Xinyu"
"222","Suqian"
"223","Suzhou.1"
"224","Xuzhou"
"225","Xuancheng"
"226","Ya'an"
"227","Yantai"
"228","Yancheng"
"229","Yangzhou"
"230","Yangjiang"
"231","Yangquan"
"232","Yichun"
"233","Yibin"
"234","Yichun.1"
"235","Yiyang"
"236","Yinchuan"
"237","Yingtan"
"238","Yongzhou"
"239","Yueyang"
"240","Yuncheng"
"241","Zaozhuang"
"242","Zhanjiang"
"243","Zhangjiajie"
"244","Zhangjiakou"
"245","Zhangye"
"246","Changchun"
"247","Changsha"
"248","Changzhi"
"249","Zhaotong"
"250","Zhenjiang"
"251","Zhongshan"
"252","Zhongwei"
"253","Zhoushan"
"254","Zhuhai"
"255","Zhuzhou"
