"","x"
"1","Ngawa Tibetan and Qiang"
"2","Aksu"
"3","Baynnur"
"4","Bayingol Mongolian Autonomous"
"5","Changji Hui Autonomous"
"6","Daxinganling"
"7","Gannan Tibetan Autonomous"
"8","Haibei Tibetan Autonomous"
"9","Liangshan Yi Autonomous"
"10","Linxia Hui Autonomous"
"11","Lvliang"
"12","Turfan"
"13","Xilin Gol"
"14","Hinggan League"
"15","Yanbian Korean Autonomous"
"16","Anshan"
"17","Baicheng"
"18","Baiyin"
"19","Baotou"
"20","Baoding"
"21","Benxi"
"22","Binzhou"
"23","Cangzhou"
"24","Chaoyang"
"25","Chengde"
"26","Chifeng"
"27","Daqing"
"28","Datong"
"29","Dingxi"
"30","Ordos"
"31","Fuxin"
"32","Harbin"
"33","Hegang"
"34","Heihe"
"35","Hengshui"
"36","Hohhot"
"37","Hulunbuir"
"38","Huludao"
"39","Jixi"
"40","Jilin"
"41","Jiamusi"
"42","Jinchang"
"43","Jinzhou"
"44","Lhasa"
"45","Lanzhou"
"46","Langfang"
"47","Liaoyang"
"48","Liaoyuan"
"49","Longnan"
"50","Mudanjiang"
"51","Panjin"
"52","Qitaihe"
"53","Qiqihar"
"54","Qinhuangdao"
"55","Shenyang"
"56","Shuozhou"
"57","Siping"
"58","Songyuan"
"59","Suihua"
"60","Taiyuan"
"61","Tangshan"
"62","Tieling"
"63","Tonghua"
"64","Tongliao"
"65","Ulaan Chab"
"66","Urumqi"
"67","Xining"
"68","Shuangyashan"
"69","Xinzhou"
"70","Yangquan"
"71","Yichun.1"
"72","Yingkou"
"73","Yulin.1"
"74","Zhangjiakou"
"75","Zhangye"
"76","Changchun"
"77","Dali Bai Autonomous"
"78","Enshi Tujia and Miao Autonomous"
"79","Ili Kazak Autonomous"
"80","Ankang"
"81","Anqing"
"82","Anyang"
"83","Bazhong"
"84","Bengbu"
"85","Baoji"
"86","Bozhou"
"87","Changde"
"88","Chengdu"
"89","Chizhou"
"90","Chuzhou"
"91","Chuxiong"
"92","Dazhou"
"93","Dalian"
"94","Dandong"
"95","Deyang"
"96","Dezhou"
"97","Fuyang"
"98","Guyuan"
"99","Guangan"
"100","Guangyuan"
"101","Handan"
"102","Hanzhong"
"103","Heze"
"104","Hebi"
"105","Huaian"
"106","Huaibei"
"107","Huainan"
"108","Jinan"
"109","Jining"
"110","Jiyuan"
"111","Jiaozuo"
"112","Jincheng"
"113","Jinzhon"
"114","Jingmen"
"115","Kaifeng"
"116","Kunming"
"117","Leshan"
"118","Lijiang"
"119","Lianyungang"
"120","Liaocheng"
"121","Linfen"
"122","Linyi"
"123","Lu'an"
"124","Liupanshui"
"125","Luoyang"
"126","Luohe"
"127","Meishan"
"128","Mianyang"
"129","Nanchong"
"130","Nantong"
"131","Nanyang"
"132","Panzhihua"
"133","Pingdingshan"
"134","Pingliang"
"135","Puyang"
"136","Qingdao"
"137","Qingyang"
"138","Qujing"
"139","Rizhao"
"140","Sanmenxia"
"141","Shangluo"
"142","Shangqiu"
"143","Shiyan"
"144","Shizuishan"
"145","Suining"
"146","Taian"
"147","Taizhou.1"
"148","Tongchuan"
"149","Weihai"
"150","Weifang"
"151","Weinan"
"152","Wuhai"
"153","Wuzhong"
"154","Weihai.1"
"155","Xi'an"
"156","Xianyang"
"157","Xiangyang"
"158","Xinxiang"
"159","Xinyang"
"160","Xingtai"
"161","Suqian"
"162","Suzhou.1"
"163","Xuzhou"
"164","Xuchang"
"165","Ya'an"
"166","Yantai"
"167","Yan'an"
"168","Yancheng"
"169","Yangzhou"
"170","Yibin"
"171","Yichang"
"172","Yiyang"
"173","Yinchuan"
"174","Yuncheng"
"175","Zaozhuang"
"176","Zhangjiajie"
"177","Changzhi"
"178","Zhaotong"
"179","Zhengzhou"
"180","Zhongwei"
"181","Zhoukou"
"182","Zhumadian"
"183","Ziyang"
"184","Zibo"
"185","Zigong"
"186","Honghe Hani and Yi Autonomous"
"187","Jaxing"
"188","Puer"
"189","Qiandongnan Buyei and Miao Autonomous"
