"","x"
"1",3
"2",3
"3",2
"4",2
"5",1
"6",3
"7",1
"8",2
"9",2
"10",3
"11",2
"12",2
"13",2
"14",3
"15",1
"16",3
"17",2
"18",1
"19",2
"20",1
"21",3
"22",3
"23",2
"24",2
"25",1
"26",3
"27",1
"28",2
"29",1
"30",1
"31",3
"32",2
"33",3
"34",2
"35",3
"36",3
"37",3
"38",1
"39",2
"40",2
"41",3
"42",3
"43",1
"44",2
"45",2
"46",3
"47",3
"48",2
"49",2
"50",2
"51",2
"52",2
"53",3
"54",2
"55",3
"56",1
"57",2
"58",2
"59",2
"60",1
"61",2
"62",1
"63",3
"64",2
"65",1
"66",2
"67",3
"68",2
"69",1
"70",2
"71",2
"72",2
"73",1
"74",1
"75",2
"76",2
"77",1
"78",2
"79",2
"80",3
"81",2
"82",3
"83",2
"84",1
"85",3
"86",1
"87",2
"88",3
"89",3
"90",2
"91",3
"92",1
"93",2
"94",2
"95",2
"96",2
"97",1
"98",3
"99",2
"100",3
"101",3
"102",1
"103",3
"104",2
"105",1
"106",3
"107",2
"108",2
"109",2
"110",1
"111",1
"112",2
"113",2
"114",3
"115",3
"116",1
"117",1
"118",2
"119",2
"120",2
"121",2
"122",1
"123",3
"124",1
"125",2
"126",1
"127",1
"128",2
"129",1
"130",3
"131",2
"132",3
"133",1
"134",1
"135",3
"136",3
"137",3
"138",2
"139",3
"140",3
"141",2
"142",3
"143",1
"144",3
"145",1
"146",2
"147",1
"148",1
"149",2
"150",3
"151",3
"152",2
"153",3
"154",2
"155",2
"156",2
"157",NA
"158",1
"159",2
"160",1
"161",2
"162",1
"163",1
"164",3
"165",1
"166",1
"167",3
"168",1
"169",2
"170",1
"171",1
"172",1
"173",2
"174",3
"175",3
"176",1
"177",2
"178",1
"179",2
"180",2
"181",1
"182",2
"183",2
"184",3
"185",2
"186",2
"187",2
"188",2
"189",1
"190",3
"191",1
"192",3
"193",3
"194",3
"195",3
"196",3
"197",1
"198",1
"199",3
"200",1
"201",1
"202",1
"203",1
"204",3
"205",1
"206",2
"207",1
"208",2
"209",3
"210",3
"211",1
"212",3
"213",NA
"214",1
"215",3
"216",2
"217",3
"218",3
"219",1
"220",3
"221",3
"222",2
"223",2
"224",2
"225",1
"226",1
"227",1
"228",1
"229",1
"230",2
"231",3
"232",1
"233",2
"234",2
"235",2
"236",3
"237",2
"238",2
"239",2
"240",3
"241",2
"242",2
"243",2
"244",1
"245",3
"246",1
"247",3
"248",3
"249",2
"250",1
"251",3
"252",3
"253",1
"254",3
"255",2
"256",2
"257",1
"258",1
"259",2
"260",3
"261",2
"262",3
"263",3
"264",2
"265",1
"266",2
"267",3
"268",3
"269",2
"270",2
"271",2
"272",2
"273",2
"274",2
"275",3
"276",2
"277",3
"278",2
"279",3
"280",3
"281",3
"282",3
"283",3
"284",2
"285",1
"286",3
"287",3
"288",3
"289",2
"290",2
"291",2
"292",3
"293",3
"294",2
"295",3
"296",3
"297",2
"298",2
