"","x"
"1",880
"2",718
"3",574
"4",717
"5",411
"6",148
"7",219
"8",234
"9",988
"10",425
"11",627
"12",900
"13",746
"14",166
"15",695
"16",534
"17",785
"18",489
"19",620
"20",580
"21",605
"22",217
"23",85
"24",242
"25",133
"26",321
"27",507
"28",4
"29",801
"30",637
"31",598
"32",157
"33",489
"34",814
"35",114
"36",516
"37",228
"38",591
"39",452
"40",745
"41",287
"42",650
"43",203
"44",51
"45",486
"46",163
"47",163
"48",562
"49",46
"50",730
"51",129
"52",953
"53",996
"54",447
"55",52
"56",302
"57",808
"58",994
"59",NA
"60",NA
"61",NA
"62",NA
"63",NA
"64",NA
"65",NA
"66",NA
"67",NA
"68",NA
"69",NA
"70",NA
"71",NA
"72",NA
"73",NA
"74",NA
"75",NA
"76",NA
"77",NA
"78",NA
